title,employer,address,min_salary,max_salary,currency,link
Junior Brand Manager,ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/50450598?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Financial reporting specialist,ТОО Hamle,Каскелен,,,,https://hh.kz/vacancy/52943296?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Junior Key Account Manager (consumer electronics),ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/52592896?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
IT Specialist,ТОО Tenaz Management,Атырау,500000,500000,KZT,https://hh.kz/vacancy/52940225?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Медиа менеджер,ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/52037222?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Advisor/Member Compliance,ТОО АНТАЛ БИЗНЕС РЕШЕНИЯ (ТМ Antal Kazakhstan),Алматы,,380000,KZT,https://hh.kz/vacancy/52939461?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Cloud Engineer (Tencent/Alibaba), Financial Systems",DataArt,Алматы,,,,https://hh.kz/vacancy/52941841?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Cabinet controller,ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/52231352?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Cloud Engineer (Tencent/Alibaba), Financial Systems",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52941840?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior DevOps Engineer (AWS), Investment Management Solutions",DataArt,Алматы,,,,https://hh.kz/vacancy/52942306?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior DevOps Engineer (AWS), Investment Management Solutions",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52942307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
UI/UX дизайнер - Team Lead designer,ТОО GMN,Нур-Султан,,,,https://hh.kz/vacancy/52936851?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Manager, Legal Group, Tax & Legal Department",ТОО KPMG,Нур-Султан,,,,https://hh.kz/vacancy/52938599?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Manager, Legal Group, Tax & Legal Department",ТОО KPMG,Алматы,,,,https://hh.kz/vacancy/52938602?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Audit/Tax Analyst,ТОО Bolashak Atyrau,Атырау,,,,https://hh.kz/vacancy/52920009?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Production Services Analyst,DataArt,Алматы,,,,https://hh.kz/vacancy/52893891?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Data Analyst, Data Warehouse",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52892336?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Production Services Analyst,DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52893892?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
React Native Team Lead,DataArt,Алматы,,,,https://hh.kz/vacancy/52617548?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior QA Automation Engineer, Betting Platform",DataArt,Алматы,,,,https://hh.kz/vacancy/52622533?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SAP Coordinator,ТОО Стамгазстрой,Актау,,,,https://hh.kz/vacancy/52602543?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Scala TeamLead / Scala Architect, Cruise Company",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52582856?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Scala TeamLead / Scala Architect, Cruise Company",DataArt,Алматы,,,,https://hh.kz/vacancy/52582855?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Program and Administrative Assistant,Нек. орг. Филиал Винрокского международного института по развитию сельского хозяйства в Республике Казахстан,Алматы,,,,https://hh.kz/vacancy/52585913?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Big Data Engineer, Investment Management Solutions",DataArt,Алматы,,,,https://hh.kz/vacancy/50377379?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Big Data Engineer, Investment Management Solutions",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/50377380?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Java Engineer, Investment Management Solution",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52582899?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Java Engineer, Communication Services",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52584677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Java Engineer, Communication Services",DataArt,Алматы,,,,https://hh.kz/vacancy/52584676?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Database Developer/Data Generalist, AdTech Solution",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/51222831?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Clearing and Settlement Analyst (maternity cover),Astana International Exchange,Нур-Султан,,,,https://hh.kz/vacancy/52534802?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Маркетинг менеджер (продвижение приложения ""Мой Beeline"")","Beeline, ТМ",Алматы,,,,https://hh.kz/vacancy/52517848?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Head of the Office of International Students and Scholars Services,Nazarbayev University,Нур-Султан,,,,https://hh.kz/vacancy/52548298?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Python Developer, Banking System",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52557937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Key Account Manage (KAM) B2B2C,ТОО Samsung Electronics Central Eurasia LLP.,Алматы,,,,https://hh.kz/vacancy/52549284?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Electrical Design Engineer,ТОО ALDAR EUROASIA PROPERTY MANAGEMENT,Нур-Султан,,,,https://hh.kz/vacancy/52583243?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Specialist (Residential Life and Housing),Nazarbayev University,Нур-Султан,,,,https://hh.kz/vacancy/52553961?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Python Developer, Banking System",DataArt,Алматы,,,,https://hh.kz/vacancy/52557936?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
RoK Training Coordinator,"ТОО КЕНТЕК КАЗАХСТАН,(ТОО ККТС)",Атырау,,,,https://hh.kz/vacancy/52385751?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Manager of Hardware at Information Services (Desktops, Laptops and Devices)",Nazarbayev University,Нур-Султан,,,,https://hh.kz/vacancy/52406026?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
HR Recruitment Specialist,ТОО Бюро Веритас Казахстан Индастриал Сервисез,Нур-Султан,,,,https://hh.kz/vacancy/52384297?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Ассистент руководителя/Офис-менеджер,ТОО OFFICESTAN,Алматы,120000,400000,KZT,https://hh.kz/vacancy/52385766?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Data Integration Engineer,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Нур-Султан,,,,https://hh.kz/vacancy/51068843?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Data Integration Engineer,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Алматы,,,,https://hh.kz/vacancy/51068841?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Data Architect, Financial Systems",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52622157?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Big Data Software Engineer, Investment Management Solutions",DataArt,Алматы,,,,https://hh.kz/vacancy/52618189?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
